native opcodes

00 01000101000000
01 01000101000000
02 01000101000000
03 01000101000000
04 01010000000000
05 01010000000000
06 00000000000000
07 00000000000001
08 01000101000000
09 01000101000000
0A 01000101000000
0B 01000101000000
0C 01010000000000
0D 01010000000000
0E 00000000000000
0F 00100000000001
10 01000101000000
11 01000101000000
12 01000101000000
13 01000101000000
14 01010000000000
15 01010000000000
16 00000000000000
17 00000000000001
18 01000101000000
19 01000101000000
1A 01000101000000
1B 01000101000000
1C 01010000000000
1D 01010000000000
1E 00000000000000
1F 00000000000001
20 01000101000000
21 01000101000000
22 01000101000000
23 01000101000000
24 01010000000000
25 01010000000000
26 00100000000000
27 10000000001010
28 01000101000000
29 01000101000000
2A 01000101000000
2B 01000101000000
2C 01010000000000
2D 01010000000000
2E 00100000000000
2F 10000000001010
30 01000101000000
31 01000101000000
32 01000101000000
33 01000101000000
34 01010000000000
35 01010000000000
36 00100000000000
37 10000000001010
38 01000101000000
39 01000101000000
3A 01000101000000
3B 01000101000000
3C 01010000000000
3D 01010000000000
3E 00100000000000
3F 10000000001010
40 00000000011100
41 00000000011100
42 00000000011100
43 00000000011100
44 00000000011100
45 00000000011100
46 00000000011100
47 00000000011100
48 00000000011100
49 00000000011100
4A 00000000011100
4B 00000000011100
4C 00000000011100
4D 00000000011100
4E 00000000011100
4F 00000000011100
50 00000000000000
51 00000000000000
52 00000000000000
53 00000000000000
54 00000000000000
55 00000000000000
56 00000000000000
57 00000000000000
58 00000000000000
59 00000000000000
5A 00000000000000
5B 00000000000000
5C 00000000000000
5D 00000000000000
5E 00000000000000
5F 00000000000000
60 00000000000000
61 00000000000000
62 00000100000000
63 00000100000000
64 00100000001001
65 00100000001000
66 00000100000000
67 00000100000000
68 00000000000000
69 00000100000100
6A 00000000000000
6B 00000100000100
6C 01000000000110
6D 01000000000110
6E 01000000000110
6F 01000000000110
70 00000000000000
71 00000000000000
72 00000000000000
73 00000000000000
74 00000000000000
75 00000000000000
76 00000000000000
77 00000000000000
78 00000000000000
79 00000000000000
7A 00000000000000
7B 00000000000000
7C 00000000000000
7D 00000000000000
7E 00000000000000
7F 00000000000000
80 01000100100100
81 01000100100100
82 01000100100100
83 01000100100100
84 01000100100100
85 01000100100100
86 01000100100100
87 01000100100100
88 01000111100000
89 01000111100000
8A 01000101100000
8B 01000101100000
8C 00001111100001
8D 00000110100000
8E 00001101100001
8F 00000110100000
90 00000000100000
91 00000000100000
92 00000000100000
93 00000000100000
94 00000000100000
95 00000000100000
96 00000000100000
97 00000000100000
98 00000000100000
99 00000000100000
9A 00000000100000
9B 00000000100000
9C 00000000100000
9D 00000000100000
9E 00000000100000
9F 00000000100000
A0 01010000100000
A1 01010000100000
A2 01010000100000
A3 01010000100000
A4 01010000100000
A5 01010000100000
A6 01010000101110
A7 01010000101110
A8 01010000100000
A9 01010000100000
AA 01010000100000
AB 01010000100000
AC 01010000100000
AD 01010000100000
AE 01010000101110
AF 01010000101110
B0 10000000100000
B1 10000000100000
B2 10000000100000
B3 10000000100000
B4 10000000100000
B5 10000000100000
B6 10000000100000
B7 10000000100000
B8 00000000100000
B9 00000000100000
BA 00000000100000
BB 00000000100000
BC 00000000100000
BD 00000000100000
BE 00000000100000
BF 00000000100000
C0 01000101101110
C1 01000101101110
C2 00000000100000
C3 00000000100000
C4 00000100100000
C5 00000100100000
C6 01000110100000
C7 01000110100000
C8 00000000100000
C9 00000000100000
CA 00000000100000
CB 00000000100000
CC 00000000100000
CD 00000000100000
CE 00000000100000
CF 00000000100000
D0 01000100100000
D1 01000100100000
D2 01000100100000
D3 01000100100000
D4 10000000100000
D5 10000000100000
D6 10000000100000
D7 10000000100000
D8 00000100100000
D9 00000100100000
DA 00000100100000
DB 00000100100000
DC 00000100100000
DD 00000100100000
DE 00000100100000
DF 00000100100000
E0 01000001101110
E1 01000001101110
E2 00000000100000
E3 00000000100000
E4 01010000101111
E5 01010000101111
E6 01010000101111
E7 01010000101111
E8 00000000100000
E9 00000000100000
EA 00000000100000
EB 00000000100000
EC 01010000101111
ED 01010000101111
EE 01010000101111
EF 01010000101111
F0 00100000101111
F1 00100000101110
F2 00100000101101
F3 00100000101100
F4 00100000101011
F5 00100000101010
F6 01000100111011
F7 01000100111011
F8 00100000100111
F9 00100000100110
FA 00100000100101
FB 00100000100100
FC 00100000100011
FD 00100000100010
FE 01000100111011
FF 01000100111011

8080 opcodes

00 00000000000000
01 00000000000000
02 10000000000000
03 00000000000000
04 10000101001100
05 10000101001100
06 10000001000000
07 10000000000000
08 00000000000000
09 00000000001101
0A 10000000000000
0B 00000000000000
0C 10000101001100
0D 10000101001100
0E 10000001000000
0F 10000000000000
10 00000000000000
11 00000000000000
12 10000000000000
13 00000000000000
14 10000101001100
15 10000101001100
16 10000001000000
17 10000000000000
18 00000000000000
19 00000000001101
1A 10000000000000
1B 00000000000000
1C 10000101001100
1D 10000101001100
1E 10000001000000
1F 10000000000000
20 00000000000000
21 00000000000000
22 00000000000000
23 00000000000000
24 10000101001100
25 10000101001100
26 10000001000000
27 10000000001010
28 00000000000000
29 00000000001101
2A 00000000000000
2B 00000000000000
2C 10000101001100
2D 10000101001100
2E 10000001000000
2F 00000000000000
30 00000000000000
31 00000000000000
32 10000000000000
33 00000000000000
34 10000101001100
35 10000101001100
36 10000001000000
37 00100000000110
38 00000000000000
39 00000000001101
3A 10000000000000
3B 00000000000000
3C 10000101001100
3D 10000101001100
3E 10000001000000
3F 00100000001010
40 10000100000000
41 10000100000000
42 10000100000000
43 10000100000000
44 10000100000000
45 10000100000000
46 10000100000000
47 10000100000000
48 10000100000000
49 10000100000000
4A 10000100000000
4B 10000100000000
4C 10000100000000
4D 10000100000000
4E 10000100000000
4F 10000100000000
50 10000100000000
51 10000100000000
52 10000100000000
53 10000100000000
54 10000100000000
55 10000100000000
56 10000100000000
57 10000100000000
58 10000100000000
59 10000100000000
5A 10000100000000
5B 10000100000000
5C 10000100000000
5D 10000100000000
5E 10000100000000
5F 10000100000000
60 10000100000000
61 10000100000000
62 10000100000000
63 10000100000000
64 10000100000000
65 10000100000000
66 10000100000000
67 10000100000000
68 10000100000000
69 10000100000000
6A 10000100000000
6B 10000100000000
6C 10000100000000
6D 10000100000000
6E 10000100000000
6F 10000100000000
70 10000100000000
71 10000100000000
72 10000100000000
73 10000100000000
74 10000100000000
75 10000100000000
76 10100100001011
77 10000100000000
78 10000100000000
79 10000100000000
7A 10000100000000
7B 10000100000000
7C 10000100000000
7D 10000100000000
7E 10000100000000
7F 10000100000000
80 10000100000000
81 10000100000000
82 10000100000000
83 10000100000000
84 10000100000000
85 10000100000000
86 10000100000000
87 10000100000000
88 10000100000000
89 10000100000000
8A 10000100000000
8B 10000100000000
8C 10000100000000
8D 10000100000000
8E 10000100000000
8F 10000100000000
90 10000100000000
91 10000100000000
92 10000100000000
93 10000100000000
94 10000100000000
95 10000100000000
96 10000100000000
97 10000100000000
98 10000100000000
99 10000100000000
9A 10000100000000
9B 10000100000000
9C 10000100000000
9D 10000100000000
9E 10000100000000
9F 10000100000000
A0 10000100000000
A1 10000100000000
A2 10000100000000
A3 10000100000000
A4 10000100000000
A5 10000100000000
A6 10000100000000
A7 10000100000000
A8 10000100000000
A9 10000100000000
AA 10000100000000
AB 10000100000000
AC 10000100000000
AD 10000100000000
AE 10000100000000
AF 10000100000000
B0 10000100000000
B1 10000100000000
B2 10000100000000
B3 10000100000000
B4 10000100000000
B5 10000100000000
B6 10000100000000
B7 10000100000000
B8 10000100000000
B9 10000100000000
BA 10000100000000
BB 10000100000000
BC 10000100000000
BD 10000100000000
BE 10000100000000
BF 10000100000000
C0 00000000000000
C1 00000000000000
C2 00000000000000
C3 00000000000000
C4 00000000000000
C5 00000000000000
C6 10000000000000
C7 00000000000000
C8 00000000000000
C9 00000000000000
CA 00000000000000
CB 00000000000000
CC 00000000000000
CD 00000000000000
CE 10000000000000
CF 00000000000000
D0 00000000000000
D1 00000000000000
D2 00000000000000
D3 10000000001111
D4 00000000000000
D5 00000000000000
D6 10000000000000
D7 00000000000000
D8 00000000000000
D9 00000000000000
DA 00000000000000
DB 10000000001111
DC 00000000000000
DD 00000000000000
DE 10000000000000
DF 00000000000000
E0 00000000000000
E1 00000000000000
E2 00000000000000
E3 00000000000000
E4 00000000000000
E5 00000000000000
E6 10000000000000
E7 00000000000000
E8 00000000000000
E9 00000000000000
EA 00000000000000
EB 00000000000000
EC 00000000000000
ED 00100000000001
EE 10000000000000
EF 00000000000000
F0 00000000000000
F1 00000000000000
F2 00000000000000
F3 00100000000101
F4 00000000000000
F5 00000000000000
F6 10000000000000
F7 00000000000000
F8 00000000000000
F9 00000000000000
FA 00000000000000
FB 00100000000100
FC 00000000000000
FD 00000000000000
FE 10000000000000
FF 00000000000000

ext opcodes

00 00000000000000
01 00000000000000
02 00000000000000
03 00000000000000
04 00000000000000
05 00000000000000
06 00000000000000
