01 111100?? 00100000001000 PREFIXES  f0,f1,f2,f3
01 1111010? 00100000001000 HLT,CMC   f4,f5
01 1111?0?? 00100000000100           f0,f1,f2,f3,f8,f9,fa,fb
01 1111??0? 00100000000010           f0,f1,f4,f5,f8,f9,fc,fd
01 1111?0?0 00100000000001           f0,f2,f8,fa
01 1111?100 00100000000001 HLT,STD   f4,fc
01 00001111 00100000000001 EXT PFX   0f
01 001??110 00100000000000           26,2e,36,3e
01 01100100 00100000000001 REPNC     64
01 0110010? 00100000001000 REPX      64,65
01 0100???? 00000000011100 INC/DEC   40,41,42,43,44,45,46,47,48,49,4a,4b,4c,4d,4e,4f
01 1111?11? 01000100011011 GRP       f6,f7,fe,ff
01 1??????? 00000000100000           80,81,82,83,84,85,86,87,88,89,8a,8b,8c,8d,8e,8f,90,91,92,93,94,95,96,97,98,99,9a,9b,9c,9d,9e,9f,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,aa,ab,ac,ad,ae,af,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,ba,bb,bc,bd,be,bf,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,ca,cb,cc,cd,ce,cf,d0,d1,d2,d3,d4,d5,d6,d7,d8,d9,da,db,dc,dd,de,df,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,ea,eb,ec,ed,ee,ef,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,fa,fb,fc,fd,fe,ff
01 00???0?? 01000101000000 ALU rm,r  00,01,02,03,08,09,0a,0b,10,11,12,13,18,19,1a,1b,20,21,22,23,28,29,2a,2b,30,31,32,33,38,39,3a,3b
01 1000???? 00000100000000           80,81,82,83,84,85,86,87,88,89,8a,8b,8c,8d,8e,8f
01 11000?0? 00000100000000 ?         c0,c1,c4,c5
01 110100?? 01000100000000 ROT GRP   d0,d1,d2,d3
01 11011??? 00000100000000 ESC       d8,d9,da,db,dc,dd,de,df
01 01100?1? 00000100000000           62,63,66,67
01 011010?1 00000100000100 IMUL      69,6b
01 1000101? 01000001000000 MOV       8a,8b
01 100011?1 00000010000000 LEA, POP  8d,8f
01 10001100 00000010000000 MOV rm,sr 8c
01 00???00? 01000000000000 ALU rm,r  00,01,08,09,10,11,18,19,20,21,28,29,30,31,38,39
01 10000??? 01000000000100           80,81,82,83,84,85,86,87
01 11?0000? 01000001001110 USES CL?  c0,c1,e0,e1
01 100011?0 00001001000001 MOV sr    8c,8e
01 00???10? 01010000000000 ALU rm,i  04,05,0c,0d,14,15,1c,1d,24,25,2c,2d,34,35,3c,3d
01 1010???? 01010000000000           a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,aa,ab,ac,ad,ae,af
01 1110?1?? 01010000001111 IN,OUT    e4,e5,e6,e7,ec,ed,ee,ef
01 011011?? 01000000000110 INS,OUTS  6c,6d,6e,6f
01 1010?11? 00000000001110 CMPS,SCAS a6,a7,ae,af
01 001??111 10000000001010 BCD       27,2f,37,3f
01 110101?? 10000000000000 AAM,AAD,X d4,d5,d6,d7
01 1100011? 01000110000000 MOV       c6,c7
01 1000100? 01000111000000 MOV       88,89
00 00110111 00100000000110 STC       37 
00 11110011 00100000000101 DI        f3 
00 11111011 00100000000100 EI        fb 
00 01110110 00100000001011 HLT       76 
00 00111111 00100000001010 CMC       3f 
00 01?????? 10000100000000 MOV grp   40,41,42,43,44,45,46,47,48,49,4a,4b,4c,4d,4e,4f,50,51,52,53,54,55,56,57,58,59,5a,5b,5c,5d,5e,5f,60,61,62,63,64,65,66,67,68,69,6a,6b,6c,6d,6e,6f,70,71,72,73,74,75,76,77,78,79,7a,7b,7c,7d,7e,7f
00 11???110 10000000000000 ADI col   c6,ce,d6,de,e6,ee,f6,fe
00 10?????? 10000100000000 ALU grp   80,81,82,83,84,85,86,87,88,89,8a,8b,8c,8d,8e,8f,90,91,92,93,94,95,96,97,98,99,9a,9b,9c,9d,9e,9f,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,aa,ab,ac,ad,ae,af,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,ba,bb,bc,bd,be,bf
00 00???10? 10000101001100 INR,DCR   04,05,0c,0d,14,15,1c,1d,24,25,2c,2d,34,35,3c,3d 
00 00???110 10000001000000 MVI       06,0e,16,1e,26,2e,36,3e
00 11101101 00100000000001 CONTROL   ed 
00 1101?011 10000000001111 OUT,IN    d3,db
00 00??1001 00000000001101 DAD       09,19,29,39
00 00100111 10000000001010 DAA       27
00 0011?010 10000000000000 STA,LDA   32,3a
00 000??010 10000000000000 STAX,LDAX 02,0a,12,1a
00 000??111 10000000000000 RLC,etc   07,0f,17,1f
11 0011???? 01010110000011 INS/EXT   30,31,32,33,34,35,36,37,38,39,3a,3b,3c,3d,3e,3f
11 00100??? 10000000001010           20,21,22,23,24,25,26,27
01 000??111 00000000000001 POP sr    07,0f,17,1f
11 0001???? 01000100000000 BIT       10,11,12,13,14,15,16,17,18,19,1a,1b,1c,1d,1e,1f
11 00101??? 01000110000000 ROL/ROR4  28,29,2a,2b,2c,2d,2e,2f
01 10110??? 10000000000000 MOV r,i   b0,b1,b2,b3,b4,b5,b6,b7
