00: 500/500 full  (cycles 500, arch 500)
01: 500/500 full  (cycles 500, arch 500)
02: 500/500 full  (cycles 500, arch 500)
03: 500/500 full  (cycles 500, arch 500)
04: 500/500 full  (cycles 500, arch 500)
05: 500/500 full  (cycles 500, arch 500)
06: 500/500 full  (cycles 500, arch 500)
07: 500/500 full  (cycles 500, arch 500)
08: 500/500 full  (cycles 500, arch 500)
09: 500/500 full  (cycles 500, arch 500)
0A: 500/500 full  (cycles 500, arch 500)
0B: 500/500 full  (cycles 500, arch 500)
0C: 500/500 full  (cycles 500, arch 500)
0D: 500/500 full  (cycles 500, arch 500)
0E: 500/500 full  (cycles 500, arch 500)
0F10: 500/500 full  (cycles 500, arch 500)
0F11: 500/500 full  (cycles 500, arch 500)
  0F12: 1 collision-dependent golden(s) validated under +mirror (64K RAM, as captured): idx [219]
0F12: 500/500 full  (cycles 500, arch 500)
0F13: 500/500 full  (cycles 500, arch 500)
0F14: 500/500 full  (cycles 500, arch 500)
0F15: 500/500 full  (cycles 500, arch 500)
0F16: 500/500 full  (cycles 500, arch 500)
0F17: 500/500 full  (cycles 500, arch 500)
0F18: 500/500 full  (cycles 500, arch 500)
0F19: 500/500 full  (cycles 500, arch 500)
0F1A: 500/500 full  (cycles 500, arch 500)
0F1B: 500/500 full  (cycles 500, arch 500)
0F1C: 500/500 full  (cycles 500, arch 500)
0F1D: 500/500 full  (cycles 500, arch 500)
0F1E: 500/500 full  (cycles 500, arch 500)
0F1F: 500/500 full  (cycles 500, arch 500)
0F20: 500/500 full  (cycles 500, arch 500)
0F22: 500/500 full  (cycles 500, arch 500)
0F26: 500/500 full  (cycles 500, arch 500)
0F28: 500/500 full  (cycles 500, arch 500)
0F2A: 500/500 full  (cycles 500, arch 500)
0F31: 500/500 full  (cycles 500, arch 500)
0F33: 500/500 full  (cycles 500, arch 500)
0F39: 500/500 full  (cycles 500, arch 500)
0F3B: 500/500 full  (cycles 500, arch 500)
10: 500/500 full  (cycles 500, arch 500)
11: 500/500 full  (cycles 500, arch 500)
12: 500/500 full  (cycles 500, arch 500)
13: 500/500 full  (cycles 500, arch 500)
14: 500/500 full  (cycles 500, arch 500)
15: 500/500 full  (cycles 500, arch 500)
16: 500/500 full  (cycles 500, arch 500)
17: 500/500 full  (cycles 500, arch 500)
18: 500/500 full  (cycles 500, arch 500)
19: 500/500 full  (cycles 500, arch 500)
1A: 500/500 full  (cycles 500, arch 500)
1B: 500/500 full  (cycles 500, arch 500)
1C: 500/500 full  (cycles 500, arch 500)
1D: 500/500 full  (cycles 500, arch 500)
1E: 500/500 full  (cycles 500, arch 500)
1F: 500/500 full  (cycles 500, arch 500)
20: 500/500 full  (cycles 500, arch 500)
21: 500/500 full  (cycles 500, arch 500)
22: 500/500 full  (cycles 500, arch 500)
23: 500/500 full  (cycles 500, arch 500)
24: 500/500 full  (cycles 500, arch 500)
25: 500/500 full  (cycles 500, arch 500)
26.8B: 500/500 full  (cycles 500, arch 500)
26.A4: 500/500 full  (cycles 500, arch 500)
27: 500/500 full  (cycles 500, arch 500)
28: 500/500 full  (cycles 500, arch 500)
29: 500/500 full  (cycles 500, arch 500)
2A: 500/500 full  (cycles 500, arch 500)
2B: 500/500 full  (cycles 500, arch 500)
2C: 500/500 full  (cycles 500, arch 500)
2D: 500/500 full  (cycles 500, arch 500)
2E.8B: 500/500 full  (cycles 500, arch 500)
2E.A5: 500/500 full  (cycles 500, arch 500)
2F: 500/500 full  (cycles 500, arch 500)
30: 500/500 full  (cycles 500, arch 500)
31: 500/500 full  (cycles 500, arch 500)
32: 500/500 full  (cycles 500, arch 500)
