
SEED 1320 forms ['push_imm', 'ea_rich', 'unary', 'push_imm', 'divbound', 'callret_near', 'mov_rm', 'push_imm', 'mul', 'sreg_rw', 'ldsles', 'indirect', 'pop_r16', 'adjust', 'mulu8_r', 'unary', 'insext', 'mulu8_r', 'mul', 'alu_grp_imm_m', 'shift_by1', 'push_imm', 'pushf_popf', 'alu_acc_imm', 'mov_ri_m', 'far_call', 'flagops', 'mov_moffs', 'nops', 'intn', 'adjust', 'int3', 'shift_by1', 'incdec_ext', 'alu_rr', 'adjust', 'bcd4s', 'sregmem', 'flagops', 'bitop', 'far_call', 'pushpop_sreg', 'alu_mem', 'alu_rr', 'alu_rr', 'ea_rich', 'ea_rich', 'callret_near', 'test_imm', 'incdec_ext', 'ea_rich', 'alu_rr', 'sregmem', 'push_r16', 'mov_moffs', 'jcc', 'ea_rich', 'indirect'] first_bus_diff 149
chip
145 {'bs': 5, 't1': 1110, 't4': 1114, 'tw': 1, 'addr': 16120, 'data': 61958, 'npops': 0} occ 3
146 {'bs': 4, 't1': 1116, 't4': 1119, 'tw': 0, 'addr': 1400, 'data': 52376, 'npops': 0} occ 0
147 {'bs': 4, 't1': 1120, 't4': 1123, 'tw': 0, 'addr': 1402, 'data': 58833, 'npops': 2} occ 2
148 {'bs': 4, 't1': 1124, 't4': 1129, 'tw': 2, 'addr': 1404, 'data': 3003, 'npops': 0} occ 2
149 {'bs': 5, 't1': 1133, 't4': 1137, 'tw': 1, 'addr': 12, 'data': 1152, 'npops': 0} occ 4
150 {'bs': 5, 't1': 1139, 't4': 1144, 'tw': 2, 'addr': 14, 'data': 0, 'npops': 0} occ 4
151 {'bs': 6, 't1': 1150, 't4': 1154, 'tw': 1, 'addr': 16120, 'data': 61958, 'npops': 0} occ 4
152 {'bs': 6, 't1': 1158, 't4': 1163, 'tw': 2, 'addr': 16118, 'data': 0, 'npops': 0} occ 4
153 {'bs': 6, 't1': 1165, 't4': 1171, 'tw': 3, 'addr': 16116, 'data': 1402, 'npops': 0} occ 0
154 {'bs': 4, 't1': 1173, 't4': 1177, 'tw': 1, 'addr': 1152, 'data': 52175, 'npops': 0} occ 0
155 {'bs': 4, 't1': 1179, 't4': 1182, 'tw': 0, 'addr': 1154, 'data': 37008, 'npops': 1} occ 2
