=== SELECTIVE-WAIT TB SHAKEOUT (board-free) ===
convergence = the CAPTURE satisfies the rule (every CODE tw==N, every
non-CODE tw==M), checked from accesses() per-access tw. Not a proxy.

    arm    seed   N   M  conv  iters  bad-per-iter
    C     90003   1   0  True      4  [49, 51, 29, 0]
    C     90007   1   0  True      3  [53, 11, 0]
    C     90016   1   0  True      5  [53, 6, 29, 2, 0]
    C     91006   1   0  True      2  [44, 0]
    C     91008   1   0  True      4  [75, 61, 6, 0]
    C     90003   2   0  True      4  [57, 51, 27, 0]
    C     90007   2   0  True      6  [55, 15, 55, 4, 43, 0]
    C     90016   2   0  True      4  [53, 6, 31, 0]
    C     91006   2   0  True      3  [46, 2, 0]
    C     91008   2   0  True      5  [77, 63, 61, 4, 0]
    C     90003   3   0  True      5  [57, 51, 31, 29, 0]
    C     90007   3   0  True      5  [57, 47, 18, 43, 0]
    C     90016   3   0  True      4  [53, 6, 31, 0]
    C     91006   3   0  True      3  [46, 2, 0]
    C     91008   3   0  True      5  [77, 63, 63, 4, 0]
    C     90003   4   0  True      5  [57, 51, 31, 29, 0]
    C     90007   4   0  True      4  [61, 53, 43, 0]
    C     90016   4   0  True      3  [24, 2, 0]
    C     91006   4   0  True      3  [46, 4, 0]
    C     91008   4   0  True      5  [77, 63, 61, 4, 0]
    C     90003   6   0  True      5  [57, 49, 31, 29, 0]
    C     90007   6   0  True      4  [61, 53, 43, 0]
    C     90016   6   0  True      3  [24, 2, 0]
    C     91006   6   0  True      3  [46, 4, 0]
    C     91008   6   0  True      5  [77, 63, 61, 4, 0]
    C     90003   8   0  True      5  [57, 49, 31, 29, 0]
    C     90007   8   0  True      4  [61, 53, 43, 0]
    C     90016   8   0  True      3  [24, 2, 0]
    C     91006   8   0  True      3  [46, 4, 0]
    C     91008   8   0  True      5  [77, 63, 61, 4, 0]
    C     90003  12   0  True      5  [57, 49, 31, 29, 0]
    C     90007  12   0  True      4  [61, 53, 43, 0]
    C     90016  12   0  True      3  [24, 2, 0]
    C     91006  12   0  True      3  [46, 4, 0]
    C     91008  12   0  True      5  [77, 63, 61, 4, 0]
    C     90003  20   0  True      5  [40, 35, 12, 8, 0]
    C     90007  20   0  True      5  [61, 53, 43, 2, 0]
    C     90016  20   0  True      3  [24, 2, 0]
    C     91006  20   0  True      3  [46, 4, 0]
    C     91008  20   0 False     12  [59, 43, 44, 5, 1, 1]
    D     90003   0   1  True      1  [0]
    D     90007   0   1  True      2  [48, 0]
    D     90016   0   1  True      1  [0]
    D     91006   0   1  True      1  [0]
    D     91008   0   1  True      1  [0]
    D     90003   0   2  True      1  [0]
    D     90007   0   2  True      2  [48, 0]
    D     90016   0   2  True      1  [0]
    D     91006   0   2  True      1  [0]
    D     91008   0   2  True      1  [0]
    D     90003   0   3  True      1  [0]
    D     90007   0   3  True      2  [48, 0]
    D     90016   0   3  True      1  [0]
    D     91006   0   3  True      1  [0]
    D     91008   0   3  True      1  [0]
    D     90003   0   4  True      1  [0]
    D     90007   0   4  True      2  [48, 0]
    D     90016   0   4  True      1  [0]
    D     91006   0   4  True      1  [0]
    D     91008   0   4  True      1  [0]
    D     90003   0   8  True      1  [0]
    D     90007   0   8  True      2  [48, 0]
    D     90016   0   8  True      1  [0]
    D     91006   0   8  True      1  [0]
    D     91008   0   8  True      1  [0]

  CONVERGED: 64/65   NON-CONVERGING (discarded+counted): 1

wrote /home/wickerwaka/src/nec_test/sw/class5_selwait.json
