form      N  d   A-H  A   F   F-D  | CHIP  D  T1   W  iD iT1 | MODEL D  T1   W  iD iT1 | ndiff
HLT.INT   0  4   -2   1     8 2    |   6   8   -  10  12     |   6   8   -  10  12     | 133
HLT.INT   0  5   -1   2     8 2    |   6   8   -  10  12     |   6   8   -  10  12     | 133
HLT.INT   0  6   0    3     8 1    |   7   8   -  11  12     |   7   8   -  11  12     | 0
HLT.INT   0  7   1    4     8 0    |   8   9   -  12  13     |   8   9   -  12  13     | 0
HLT.INT   0  8   2    5     8 -1   |   9  10   -  13  14     |   9  10   -  13  14     | 0
HLT.RES   0  4   -2   1     - -    |   -   -   -   -   -     |   -   -   -   -   -     | 0
HLT.RES   0  5   -1   2     - -    |   6   -   -   -   -     |   6   -   -   -   -     | 0
HLT.RES   0  6   0    3     8 1    |   7   -   -   -   -     |   7   -   -   -   -     | 0
HLT.RES   0  7   1    4     8 0    |   8   -   -   -   -     |   8   -   -   -   -     | 0
HLT.RES   0  8   2    5     8 -1   |   9   -   -   -   -     |   9   -   -   -   -     | 0
HLT.INT   1  8   -2   3    11 3    |   8   -  11  12  13     |   8   -  11  12  13     | 7
HLT.INT   1  9   -1   4    11 3    |   8   -  11  12  13     |   8   -  11  12  13     | 7
HLT.INT   1  10  0    5    11 2    |   9  11   -  16  17     |   9  11   -  16  17     | 3
HLT.INT   1  11  1    6    11 1    |  10  11   -  16  17     |  10  11   -  16  17     | 0
HLT.INT   1  12  2    7    11 0    |  11  12   -  17  18     |  11  12   -  17  18     | 0
HLT.RES   1  8   -2   3     - -    |   -   -   -   -   -     |   -   -   -   -   -     | 0
HLT.RES   1  9   -1   4     - -    |   8   -   -   -   -     |   8   -   -   -   -     | 0
HLT.RES   1  10  0    5     - -    |   9   -   -   -   -     |   9   -   -   -   -     | 0
HLT.RES   1  11  1    6    11 1    |  10   -   -   -   -     |  10   -   -   -   -     | 0
HLT.RES   1  12  2    7    11 0    |  11   -   -   -   -     |  11   -   -   -   -     | 0
HLT.INT   2  10  -2   4    13 4    |   9   -  12  13  14     |   9   -  12  13  14     | 12
HLT.INT   2  11  -1   5    13 4    |   9   -  12  13  14     |   9   -  12  13  14     | 12
HLT.INT   2  12  0    6    13 3    |  10   -  13  14  15     |  10   -  13  14  15     | 7
HLT.INT   2  13  1    7    13 2    |  11  13   -  19  20     |  11  13   -  19  20     | 3
HLT.INT   2  14  2    8    13 1    |  12  13   -  19  20     |  12  13   -  19  20     | 0
HLT.RES   2  10  -2   4     - -    |   -   -   -   -   -     |   -   -   -   -   -     | 0
HLT.RES   2  11  -1   5     - -    |   9   -   -   -   -     |   9   -   -   -   -     | 0
HLT.RES   2  12  0    6     - -    |  10   -   -   -   -     |  10   -   -   -   -     | 0
HLT.RES   2  13  1    7     - -    |  11   -   -   -   -     |  11   -   -   -   -     | 0
HLT.RES   2  14  2    8    13 1    |  12   -   -   -   -     |  12   -   -   -   -     | 0
HLT.INT   3  12  -2   5    15 5    |  10   -  14  15  16     |  10   -  14  15  16     | 15
HLT.INT   3  13  -1   6    15 5    |  10   -  14  15  16     |  10   -  14  15  16     | 15
HLT.INT   3  14  0    7    15 4    |  11   -  14  15  16     |  11   -  14  15  16     | 12
HLT.INT   3  15  1    8    15 3    |  12   -  15  16  17     |  12   -  15  16  17     | 7
HLT.INT   3  16  2    9    15 2    |  13  15   -  22  23     |  13  15   -  22  23     | 3
HLT.RES   3  12  -2   5     - -    |   -   -   -   -   -     |   -   -   -   -   -     | 0
HLT.RES   3  13  -1   6     - -    |  10   -   -   -   -     |  10   -   -   -   -     | 0
HLT.RES   3  14  0    7     - -    |  11   -   -   -   -     |  11   -   -   -   -     | 0
HLT.RES   3  15  1    8     - -    |  12   -   -   -   -     |  12   -   -   -   -     | 0
HLT.RES   3  16  2    9     - -    |  13   -   -   -   -     |  13   -   -   -   -     | 0
